Timestamp,Score,"What tools or resources do you find most helpful when you study (e.g., flashcards, apps, websites)?","Do you take breaks while studying? If so, what do you usually do during breaks?",How do you keep track of assignment due dates and exam dates?,How do you prepare for upcoming tests or exams?,"What challenges do you face when studying, and how do you overcome them?",,
4/14/2024 16:14:13,,No,Sleep,Germany,LearnPlay,,"No,Sleep,Germany,LearnPlay,",Good Student
4/14/2024 16:40:52,,I  like to do watercolor paintings especially making homemade cards ,I  like to play on my switch ,id want to go to iceland so I  can enjoy nature and see the northern lights ,no ,,"I  like to do watercolor paintings especially making homemade cards ,I  like to play on my switch ,id want to go to iceland so I  can enjoy nature and see the northern lights ,no ,",Good Student
4/14/2024 16:42:11,,No none at all,Watch tv shows ,I would go to Japan and I would like to explore the historical and cultural areas ,"I am a part of the Columbia University Neuroscience Outreach Program where we volunteer to create fun activities for kids and get them involved within scientific research, I enjoy having a positive impact on kids ",,"No none at all,Watch tv shows ,I would go to Japan and I would like to explore the historical and cultural areas ,I am a part of the Columbia University Neuroscience Outreach Program where we volunteer to create fun activities for kids and get them involved within scientific research, I enjoy having a positive impact on kids ,",Good Student
4/14/2024 16:44:52,,no I  hate art ,I  like to drink alcohol and sleep ,jail ,the I hate homework club ,,"no I  hate art ,I  like to drink alcohol and sleep ,jail ,the I hate homework club ,", Bad Student
4/14/2024 16:47:11,,I enjoy writing poetry. ,My favorite way to relax or destress is to bake tiramisu.,I would love to travel to Japan or Thailand.,I am a part of LearnPlay which I love because I get to expose people to new games and participate in very unique game design projects.,,"I enjoy writing poetry. ,My favorite way to relax or destress is to bake tiramisu.,I would love to travel to Japan or Thailand.,I am a part of LearnPlay which I love because I get to expose people to new games and participate in very unique game design projects.,",Good Student
4/14/2024 16:48:34,,"Drawing, painting, sculpting, creating music ",Painting ,Italy because of the culture and art ,Drawing and Design team ,,"Drawing, painting, sculpting, creating music ,Painting ,Italy because of the culture and art ,Drawing and Design team ,",Good Student
4/14/2024 16:54:31,,I play the kazoo.,I like to skateboard,I wanna go to North Korea because I wanna see how Kim Jong Un.,I am in the Lettuce Club. I like it because I enjoy eating lettuce.,,"I play the kazoo.,I like to skateboard,I wanna go to North Korea because I wanna see how Kim Jong Un.,I am in the Lettuce Club. I like it because I enjoy eating lettuce.,",Good Student
4/14/2024 16:57:37,,ChatGPT,I wait till the last minute and cram.,My friends tell me.,I cram last minute.,I google the answer.,"ChatGPT,I wait till the last minute and cram.,My friends tell me.,I cram last minute.,I google the answer.",Good Student
4/19/2024 21:15:47,,"Kaggle, Colab Notebook","Yes, I usually watch videos online",I use a planner,I study 2 weeks in advanced,I struggle in math,"Kaggle, Colab Notebook,Yes, I usually watch videos online,I use a planner,I study 2 weeks in advanced,I struggle in math",Good Student
4/21/2024 16:28:06,,"YouTube, textbooks",No I'm always tired,I don't,I study the night before,I can't read,"YouTube, textbooks,No I'm always tired,I don't,I study the night before,I can't read", Bad Student
4/21/2024 16:28:32,,none,no i just cram last minute ,i don’t,i don’t,i just pray,"none,no i just cram last minute ,i don’t,i don’t,i just pray", Bad Student
4/21/2024 16:29:45,,I find quizlet and using my Apple Pencil helpful. ,I take a lot of breaks while I study and go on tiktok because it’s hard for me to pay attention ,I just remember. I used to use a planner but not really anymore ,I practice a lot and write it out ,I struggle with focusing and maintaining focus while I study ,"I find quizlet and using my Apple Pencil helpful. ,I take a lot of breaks while I study and go on tiktok because it’s hard for me to pay attention ,I just remember. I used to use a planner but not really anymore ,I practice a lot and write it out ,I struggle with focusing and maintaining focus while I study ",Good Student
4/21/2024 16:30:01,,I prefer websites and online flashcards. I use quizlet to help with exam prep.,"I don't usually like taking breaks, but if I'm studying for a test and it takes long I prefer to take a break while scrolling through social media on my phone.",I use google calendar to keep up eith everything. I check my calendar everyday so it's very helpful. ,I usually write notes and make cheat sheets to focus on the main points I want to remember for the exam. ,Keeping my attention focused on my studies instead of wanting to keep track of social media or my phone.,"I prefer websites and online flashcards. I use quizlet to help with exam prep.,I don't usually like taking breaks, but if I'm studying for a test and it takes long I prefer to take a break while scrolling through social media on my phone.,I use google calendar to keep up eith everything. I check my calendar everyday so it's very helpful. ,I usually write notes and make cheat sheets to focus on the main points I want to remember for the exam. ,Keeping my attention focused on my studies instead of wanting to keep track of social media or my phone.",Good Student
4/23/2024 12:36:35,,I hate school,I hate school,I hate school,I hate school,I hate school,"I hate school,I hate school,I hate school,I hate school,I hate school", Bad Student
4/23/2024 14:36:50,,I just look it up online,"No, I just don't study",I don't ,I don't,I struggle in school,"I just look it up online,No, I just don't study,I don't ,I don't,I struggle in school", Bad Student
4/23/2024 18:34:21,,apps,music,calendar,review,AI friends,"apps,music,calendar,review,AI friends",Good Student
4/23/2024 18:34:27,,app,music ,canvas ,Learning,website ,"app,music ,canvas ,Learning,website ",Good Student
4/23/2024 18:34:48,,Flashcards,Scrolling Instagram,Pens and paper,"Plan my study ahead, Follow the plan",Engagement,"Flashcards,Scrolling Instagram,Pens and paper,Plan my study ahead, Follow the plan,Engagement",Good Student
4/23/2024 18:35:03,,ChatGPT,"Yes, take a nap",Google Calendar,Study doc,Procrastination. Go to the library and study,"ChatGPT,Yes, take a nap,Google Calendar,Study doc,Procrastination. Go to the library and study", Bad Student
4/23/2024 18:35:12,,Websites,Go to bathroom ,Canvas ,Organizing class materials ,"Laziness, still figuring out ","Websites,Go to bathroom ,Canvas ,Organizing class materials ,Laziness, still figuring out ", Bad Student
4/23/2024 18:35:18,,"Rewriting my notes, flashcards, AI flashcards, AI review",Cry ,"Google calendar, my brain ","Rewriting my notes, flashcards, AI flashcards, AI review","Take a break, aska friend, ask chatgpt","Rewriting my notes, flashcards, AI flashcards, AI review,Cry ,Google calendar, my brain ,Rewriting my notes, flashcards, AI flashcards, AI review,Take a break, aska friend, ask chatgpt",Good Student
4/23/2024 18:35:24,,ChatGPT,"Snacks, Social media","Sometimes to-do list, most of the time by memory",Go over all the course materials I can find and list the key points then remember them,Procrastination; push myself to study,"ChatGPT,Snacks, Social media,Sometimes to-do list, most of the time by memory,Go over all the course materials I can find and list the key points then remember them,Procrastination; push myself to study",Good Student
4/23/2024 18:35:35,,ChatGPT,Yes. Gaming.,Set reminder ,Review the course content ,A lot,"ChatGPT,Yes. Gaming.,Set reminder ,Review the course content ,A lot",Good Student
4/23/2024 18:35:42,,websites，genrative ai，app,"Yes, scroll my phone and walk around
",Write on the calendar and set phone reminders,Set schedule and study with classmates,I have fixed mindset on learning programming and preparing on exams,"websites，genrative ai，app,Yes, scroll my phone and walk around
,Write on the calendar and set phone reminders,Set schedule and study with classmates,I have fixed mindset on learning programming and preparing on exams",Good Student
4/23/2024 18:35:56,,"Flash cards, ChatGPT, website ",Checking on my phone ,Writ them down on my phone ,Study hard review class materials ,I don’t understand some hard math concepts and I search vedios on YouTube ,"Flash cards, ChatGPT, website ,Checking on my phone ,Writ them down on my phone ,Study hard review class materials ,I don’t understand some hard math concepts and I search vedios on YouTube ",Good Student
4/23/2024 18:36:09,,"Google search, apps",Yes. What short video clips,Google calendar,NA,"Lack of understanding, google, check with friends ","Google search, apps,Yes. What short video clips,Google calendar,NA,Lack of understanding, google, check with friends ", Bad Student
4/23/2024 18:36:31,,chatgpt,yes snack,finish in advance,study the content ,cannot understand and focus no idea,"chatgpt,yes snack,finish in advance,study the content ,cannot understand and focus no idea", Bad Student
4/23/2024 18:41:00,,"Depending on the subject, but in general apps works the best. ",Not really… I will set a goal like finish studying this before ,Using notion to create a table that lists all deadlines after reading the syllabi,Free recall and mock exams ,"procrastination… well, maybe laziness and perfectionism are two biggest obstacles.  ","Depending on the subject, but in general apps works the best. ,Not really… I will set a goal like finish studying this before ,Using notion to create a table that lists all deadlines after reading the syllabi,Free recall and mock exams ,procrastination… well, maybe laziness and perfectionism are two biggest obstacles.  ",Good Student
4/23/2024 18:41:20,,youtube,youtube,google canllendar,review material provided by prof.,some concepts or process are not explained in details by prof. Get helpful from tools like Chatgpt.,"youtube,youtube,google canllendar,review material provided by prof.,some concepts or process are not explained in details by prof. Get helpful from tools like Chatgpt.",Good Student
,,,,,,,",,,,", 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
,,,,,,,, 
